driver_id,total_fare,avg_distance
7,88.18,13.91
15,231.56,25.705
54,121.03,20.86
11,498.49,29.322499999999998
29,182.18,38.085
69,21.6,17.42
42,84.2,24.22
87,215.12,30.213333333333335
64,246.43,36.29
3,217.75,27.025
34,105.67,32.035
59,102.63,34.8
8,392.81999999999994,37.927499999999995
22,131.76,26.78
28,51.76,48.44
85,74.67,14.3
16,137.78,19.633333333333336
35,214.24,38.005
52,80.49,21.32
71,6.37,43.51
98,67.79,15.28
47,149.44,21.89
99,77.36,29.36
43,77.89,43.47
31,144.16,11.75
100,34.98,29.9
18,100.44,29.78
70,71.49,29.89
61,109.04,46.35
27,245.67000000000002,36.64
75,192.09,4.525
26,54.53,46.2
46,182.8,31.94333333333333
78,147.27,44.61
77,235.94,32.465
6,49.95,3.37
60,133.76,7.040000000000001
90,116.17,38.41
19,179.45000000000002,25.745
41,251.17000000000002,20.95
95,129.95,10.015
93,128.68,30.0
25,218.0,17.133333333333336
44,216.42000000000002,42.335
53,230.51999999999998,12.48
92,77.79,30.55
86,252.82,12.49
58,34.47,2.53
81,90.16,40.98
33,118.28,42.71
48,63.45,13.46
97,136.28,38.58
67,135.72,31.1
84,28.45,18.01
79,229.66000000000003,20.305
88,208.44,31.269999999999996
1,15.84,30.73
20,56.05,4.26
56,67.61,11.76
36,36.76,14.75
37,456.11,35.96
49,68.57,6.17
63,40.81,6.89
65,202.29,25.375
4,95.35,14.274999999999999
12,240.72000000000003,24.169999999999998
83,72.56,30.2
13,79.81,36.575
14,45.33,31.31
91,47.64,32.46
94,190.57,33.03
72,84.31,34.5
74,94.12,29.96
76,251.87,17.405
50,133.05,12.91
57,130.55,18.585
